plaatsnaam
's Gravenmoer
's-Graveland
's-Gravendeel
's-Gravenhage
's-Gravenhage                      
's-Gravenpolder
's-Gravenzande
's-Heer Abtskerke
's-Heer Arendskerke
's-Heer Hendrikskinderen
's-Heerenberg
's-Heerenbroek
's-Heerenhoek
's-Hertogenbosch
's-Hertogenbosch                   
't Goy
't Haantje
't Harde
't Loo Oldebroek
't Veld
't Waar
't Zand
't Zandt
1e Exloermond
2e Exloermond
2e Valthermond
Aa en Hunze                        
Aadorp
Aagtekerke
Aalden
Aalsmeer
Aalsmeer                           
Aalsmeerderbrug
Aalst
Aalsum
Aalten
Aalten                             
Aardenburg
Aarlanderveen
Aarle-Rixtel
Aartswoud
Abbega
Abbekerk
Abbenbroek
Abbenes
Abcoude
Achlum
Achterveld
Achthuizen
Achtkarspelen                      
Achtmaal
Acquoy
Adorp
Aduard
Aerdenhout
Aerdt
Afferden
Afferden L
Agelo
Akersloot
Akkrum
Akmarijp
Albergen
Alblasserdam
Alblasserdam                       
Albrandswaard                      
Alde Leie
Aldeboarn
Aldtsjerk
Alkmaar
Alkmaar                            
Allingawier
Almelo
Almelo                             
Almen
Almere
Almere                             
Almkerk
Alphen
Alphen aan den Rijn
Alphen aan den Rijn                
Alphen-Chaam                       
Altena                             
Alteveer
Alteveer gem Hoogeveen
Altforst
Ambt Delden
Ameide
Ameland                            
America
Amerongen
Amersfoort
Amersfoort                         
Ammerstol
Ammerzoden
Amstelhoek
Amstelveen
Amstelveen                         
Amstenrade
Amsterdam
Amsterdam                          
Amsterdam-Duivendrecht
Andel
Andelst
Anderen
Andijk
Anerveen
Anevelde
Angeren
Angerlo
Anjum
Ankeveen
Anloo
Anna Paulowna
Annen
Annerveenschekanaal
Ansen
Apeldoorn
Apeldoorn                          
Appelscha
Appeltern
Appingedam
Arcen
Arkel
Arnemuiden
Arnhem
Arnhem                             
Arrien
Asperen
Assen
Assen                              
Assendelft
Asten
Asten                              
Augsbuurt
Augustinusga
Austerlitz
Avenhorn
Azewijn
Baaiduinen
Baaium
Baambrugge
Baard
Baarland
Baarle-Nassau
Baarle-Nassau                      
Baarlo
Baarn
Baarn                              
Baars
Babberich
Babylonienbroek
Bad Nieuweschans
Badhoevedorp
Baexem
Baflo
Bakel
Bakhuizen
Bakkeveen
Balgoij
Balinge
Balkbrug
Balloerveld
Balloo
Ballum
Baneheide
Banholt
Bantega
Barchem
Barendrecht
Barendrecht                        
Barger-Compascuum
Barneveld
