werkwoord
Aanaarden
Aanbakken
Aanbelanden
Aanbellen
Aanbenen
Aanbesteden
Aanbetalen
Aanbevelen
Aanbidden
Aanbieden
Aanbijten
Aanbinden
Aanblaffen
Aanblazen
Aanblijven
Aanblikken
Aanboren
Aanbouwen
Aanbraden
Aanbranden
Aanbreien
Aanbreken
Aanbrengen
Aandammen
Aandienen
Aandijken
Aandikken
Aandoen
Aandraaien
Aandragen
Aandraven
Aandrijven
Aandringen
Aandrukken
Aanduiden
Aandurven
Aanduwen
Aandweilen
Aaneenbinden
Aaneenflansen
Aaneenhangen
Aaneenhechten
Aaneenkleven
Aaneenklinken
Aaneenkoppelen
Aaneenrijgen
Aaneenschakelen
Aaneenschrijven
Aaneensluiten
Aaneensmeden
Aanflitsen
Aanfluiten
Aanfokken
Aangaan
Aangapen
Aangespen
Aangeven
Aangorden
Aangrijnzen
Aangrijpen
Aangroeien
Aanhaken
Aanhalen
Aanhangen
Aanharken
Aanhechten
Aanheffen
Aanhikken
Aanhitsen
Aanhollen
Aanhoren
Aanhouden
Aanjagen
Aankaarten
Aankakken
Aankijken
Aanklagen
Aanklampen
Aankleden
Aankleven
Aankloppen
Aanknippen
Aanknopen
Aankoeken
Aankomen
Aankondigen
Aankopen
Aankruisen
Aankunnen
Aankweken
Aanlachen
Aanlanden
Aanleggen
Aanlengen
Aanleren
Aanleunen
Aanleveren
Aanliggen
Aanlijken
Aanlijnen
Aanloeren
Aanloggen
Aanlokken
Aanlonken
Aanlopen
Aanmaken
Aanmanen
Aanmelden
Aanmengen
Aanmeren
Aanmerken
Aanmeten
Aanmodderen
Aanmoedigen
Aanmonsteren
Aanmunten
Aannaaien
Aannemen
Aanpakken
Aanpappen
Aanpassen
Aanplakken
Aanplanten
Aanporren
Aanpoten
Aanpraten
Aanpreken
Aanprijzen
Aanpunten
Aanraden
Aanraken
Aanranden
Aanreiken
Aanrekenen
Aanrennen
Aanrichten
Aanrijden
Aanrijgen
Aanroepen
Aanroeren
Aanrollen
Aanrommelen
Aanrukken
Aanschaffen
Aanschellen
Aanscherpen
Aanschieten
Aanschoffelen
Aanschoppen
Aanschouwen
Aanschrijden
Aanschrijven
Aanschroeven
Aanschuiven
Aansjokken
Aansjorren
Aansjouwen
Aanslaan
Aanslepen
Aanslibben
Aanslingeren
Aansloffen
Aansluipen
Aansluiten
Aansmeren
Aansnellen
Aansnijden
Aansnoeren
Aanspannen
Aanspelen
Aanspoelen
Aansporen
Aanspreken
Aanstaan
Aanstampen
Aanstappen
Aanstaren
Aansteken
Aanstellen
Aansterken
Aanstevenen
Aanstichten
Aanstiefelen
Aanstippen
Aanstoken
Aanstormen
Aanstoten
Aanstouwen
Aanstrepen
Aanstrijken
Aanstromen
Aanstuiven
Aansturen
Aanstuwen
Aanswitchen
Aantasten
Aantekenen
Aantellen
Aantijgen
Aantikken
Aantonen
Aantrappen
Aantreden
Aantreffen
Aantrekken
Aanvaarden
Aanvallen
Aanvangen
Aanvaren
Aanvatten
Aanvechten
Aanvegen
Aanvetten
Aanvliegen
Aanvoelen
Aanvoeren
Aanvragen
Aanvreten
Aanvullen
Aanvuren
Aanwaaien
Aanwakkeren
Aanwassen
Aanwenden
Aanwennen
Aanwerven
Aanwijzen
Aanwinnen
Aanwippen
Aanwrijven
Aanzanden
Aanzeggen
Aanzetten
Aanzeulen
Aanzien
Aanzitten
Aanzoeken
Aanzuiveren
Aanzwellen
Aanzwengelen
Aanzwepen
Aarden
Aarzelen
Abandonneren
Abdiqueren
Abduceren
Abhorreren
Abimeren
Aboleren
Aborderen
Aborteren
Absolveren
Absorberen
Abstraheren
Accableren
Accapareren
Accelereren
Accentueren
Accepteren
Accessen
Acclimatiseren
Accommoderen
Accompagneren
Accorderen
Accosteren
Accrediteren
Accrocheren
Accumuleren
Accuseren
Acen
Achten
Achteraankomen
Achterblijven
Achterhalen
Achterhouden
Achterlaten
Achterliggen
Achterlopen
Achternagaan
Achternalopen
Achternarijden
Achternavaren
Achternazetten
Achternazitten
Achteromkijken
Achteropkomen
Achteropraken
Achteroverdrukken
Achteroverleunen
Achteroverslaan
Achterovervallen
Achterstaan
Achterstellen
Achteruitdeinzen
Achteruitgaan
Achteruitkrabbelen
Achteruitlopen
Achteruitrijden
Achteruitslaan
Achteruitwijken
Achteruitzetten
Achtervoegen
Achtervolgen
Acquireren
Acquitteren
Acroturnen
Acten
Acteren
Activeren
Actualiseren
Actueren
Adapteren
Adderen
Ademen
Ademhalen
Adequeren
Aderiseren
Aderlaten
Adhereren
Adjudiceren
Adjungeren
Adjusteren
Administreren
Admitteren
Adopteren
Adoreren
Adosseren
Adouceren
Adresseren
Adsorberen
Adstrueren
Advancen
Adverteren
Advertisen
Adviseren
Aerobiccen
Afbakenen
Afbeelden
Afbekken
Afbellen
Afbestellen
Afbetalen
Afbetten
Afbeulen
Afbidden
Afbijten
Afbinden
Afbitchen
Afbladderen
Afblaffen
Afblazen
Afblijven
Afbluffen
Afboeken
Afborstelen
Afbottelen
Afbouwen
Afbramen
Afbranden
Afbreken
Afbrengen
Afbrokkelen
Afbuigen
Afchecken
Afdalen
Afdammen
Afdanken
Afdansen
Afdekken
Afdingen
Afdoen
Afdraaien
Afdragen
Afdreggen
Afdreigen
Afdrijven
Afdrinken
Afdrogen
Afdruipen
Afdrukken
Afduwen
Afdwalen
Afdwingen
Affakkelen
Afficheren
Affiliëren
Affineren
Affirmeren
Affluiten
Affronteren
Afgaan
Afgelasten
Afgeven
Afgieten
Afglijden
Afgooien
Afgraven
Afgrazen
Afgrendelen
Afgronden
Afhaken
Afhakken
Afhalen
Afhameren
Afhandelen
Afhangen
Afhaspelen
Afhechten
Afhelpen
Afhouden
Afhouwen
Afhuren
Afjakkeren
Afkalven
Afkammen
Afkanten
Afkappen
Afkatten
Afkeren
Afkerven
Afketsen
Afkeuren
Afkicken
Afkijken
Afkleden
Afklemmen
Afklokken
Afkloppen
Afkluiven
Afknabbelen
Afknappen
Afknellen
Afknibbelen
Afknijpen
Afknippen
Afknokken
Afkoelen
Afkoken
Afkomen
Afkondigen
Afkopen
Afkoppelen
Afkorten
Afkrabben
Afkraken
Afkrijgen
Afkunnen
Afladen
Aflaten
Aflebberen
Afleggen
Afleiden
Afleren
Afleveren
Aflezen
Aflikken
Afloeren
Afloggen
Aflopen
Aflossen
Afluisteren
Afmaaien
Afmaken
Afmalen
Afmarcheren
Afmartelen
Afmatten
Afmeren
Afmeten
Afmijnen
Afmikken
Afmonsteren
Afnemen
Afnokken
Afpakken
Afpalen
Afpassen
Afpeigeren
Afpeilen
Afpellen
Afperken
Afpersen
Afpijnigen
Afpikken
Afpingelen
Afplatten
Afplukken
Afpoeieren
Afpraten
Afprijzen
Afraden
Afraffelen
Afraken
Aframmelen
Afranselen
Afrasteren
Afratelen
Afreageren
Afreizen
Afrekenen
Afremmen
Africhten
Afrijden
Afrikaniseren
Afroeien
Afroepen
Afroffelen
Afromen
Afronden
Afrossen
Afruimen
Afrukken
Afschaffen
Afschampen
Afschatten
Afschaven
Afscheiden
Afschenken
Afschepen
Afscheren
Afschermen
Afschetsen
Afscheuren
Afschieten
Afschijnen
Afschilderen
Afschilferen
Afschillen
Afschminken
Afschrabben
Afschrapen
Afschrappen
Afschrijven
Afschrikken
Afschroeven
Afschudden
Afschuieren
Afschuimen
Afschuinen
Afschuiven
Afschutten
Afslaan
Afslachten
Afslanken
Afslijten
Afsloven
Afsluiten
Afsmeken
Afsnauwen
Afsnijden
Afsnoeren
Afspannen
Afspelden
Afspelen
Afspiegelen
Afsplijten
Afsplitsen
Afspoelen
Afsponsen
Afspreken
Afspringen
Afspuiten
Afstaan
Afstammen
Afstappen
Afsteken
Afstellen
Afstemmen
Afstempelen
Afsterven
Afstevenen
Afstijgen
Afstoffen
Afstompen
Afstoppen
Afstoten
Afstraffen
Afstrijken
Afstropen
Afstruinen
Afstuderen
Afstuiten
Aftaaien
Aftakelen
Aftakken
Aftanken
Aftappen
Aftasten
Aftekenen
Aftellen
Afteren
Aftesten
Aftikken
Aftobben
Aftoppen
Aftrainen
Aftrappen
Aftreden
Aftrekken
Aftroeven
Aftroggelen
Aftuigen
Afturven
Afvaardigen
Afvallen
Afvangen
Afvaren
Afvegen
Afvergen
Afverven
Afvinken
Afvlaggen
Afvloeien
Afvoeren
Afvorderen
Afvragen
Afvullen
Afvuren
Afwaaien
Afwaarderen
Afwachten
Afwassen
Afwateren
Afwegen
Afweken
Afwenden
Afwennen
Afwentelen
Afweren
Afwerken
Afwerpen
Afweten
Afwijken
Afwijzen
Afwikkelen
Afwimpelen
Afwinden
Afwisselen
Afwissen
Afwrijven
Afzadelen
Afzakken
Afzeggen
Afzeiken
Afzemen
Afzenden
Afzetten
Afzien
Afzinken
Afzoeken
Afzoenen
Afzonderen
Afzuigen
Afzwaaien
Afzwakken
Afzwemmen
Afzweren
Agaceren
Agenderen
Ageren
Agglutineren
Aggregeren
Agioteren
Agiteren
Agnosceren
Airboarden
Airbrushen
Alarmeren
Alcoholiseren
Alerten
Alfabetiseren
Aligneren
Alkaliseren
Alkyleren
Allitereren
Allongeren
Allrounden
Alluderen
Alterneren
Amalgameren
Ambiëren
Ambreren
Ambushmarketen
Amenderen
Amerikaniseren
Amortiseren
Amplificeren
Amputeren
Amuseren
Analogiseren
Analyseren
Anatomiseren
Animeren
Ankeren
Annexeren
Annonceren
Annoteren
Annuleren
Anodiseren
Antedateren
Antichambreren
Anticiperen
Antidateren
Antwoorden
Apaiseren
Apocoperen
Appealen
Appeasen
Appelleren
Appen
Applaudisseren
Appliceren
Appliqueren
Apporteren
Appreciëren
Appreteren
Approvianderen
Aquafitnessen
Aquajoggen
Aquaplanen
Aquarelleren
Aquarobiccen
Arbitreren
Arceren
Archaïseren
Archiveren
Argumenteren
Aromatiseren
Arrangeren
Arresteren
Arriveren
Articuleren
Asfalteren
Aspireren
Assemblen
Assembleren
Assimileren
Assisten
Assisteren
Associëren
Assoneren
Assorteren
Assumeren
Assureren
Atb'En
Atkinsen
Atomiseren
Atrofiëren
Attachen
Attacheren
Attaqueren
Attenderen
Attesteren
Attraperen
Audiofucken
Auditen
Auditeren
Ausculteren
Autocrossen
Autodaten
Autodialen
Automatiseren
Autopetten
Autoracen
Autorijden
Autoriseren
Avondmalen
Azen
Babbelen
Babysitten
Back-Uppen
Backbouncen
Backcasten
Backfiren
Backflippen
Backloaden
Backmasken
Backpacken
Backspacen
Backspinnen
Backtracken
Badderen
Baden
Badineren
Badmintonnen
Bagatelliseren
Baggeren
Bakeren
Bakkeleien
Bakken
Balanceren
Balderen
Balen
Balkaniseren
Balken
Ballasten
Ballen
Balloteren
Balsemen
Baltsen
Bamzaaien
Bandyen
Banen
Banjeren
Bankieren
Bankswitchen
Bannen
Barbecueën
Barebacken
Baren
Bargainhunten
Barreren
Barricaderen
Barsten
Barteren
Baseballen
Basejumpen
Basen
Baseren
Bashen
Basketballen
Batchen
Battelen
Batten
Battlen
Bazelen
Bbq'En
Bcc'En
Beachen
Beachsocceren
Beachvolleyballen
Beachvolleyen
Beademen
Beamen
Beangstigen
Beantwoorden
Beatboxen
Beatdancen
Beaten
Beatjuggelen
Beatjugglen
Bebakenen
Beboeten
Beboppen
Bebossen
Bebouwen
Bebroeden
Becijferen
Becommentariëren
Beconcurreren
Bedampen
Bedanken
Bedaren
Bedauwen
Bedekken
Bedelen
Bedenken
Bederven
Bedienen
Bedijken
Bedillen
Bedingen
Bediscussiëren
Bedisselen
Bedoelen
Bedonderen
Bedotten
Bedragen
Bedreigen
Bedriegen
Bedrijven
Bedroeven
Bedruipen
Bedrukken
Beduiden
Beduimelen
Beduvelen
Bedwelmen
Bedwingen
Beeldhouwen
Beesten
Beethebben
Beetkrijgen
Beetnemen
Beetpakken
Beffen
Begaan
Begeesteren
Begeleiden
Begenadigen
Begeren
Begeven
Begieten
Begiftigen
Beginnen
Beglazen
Begluren
Begoochelen
Begraven
Begrazen
Begrenzen
Begrijpen
Begroeien
Begroeten
Begroten
Begunstigen
Behagen
Behalen
Behandelen
Behangen
Behartigen
Beheersen
Beheksen
Behelpen
Behelzen
Beheren
Behoeden
Behoeven
Behoren
Beiaarden
Beieren
Beitelen
Beitsen
Bejagen
Bejammeren
Bejegenen
Bejubelen
Bekampen
Bekendmaken
Bekendstaan
Bekennen
Bekeren
Bekeuren
Bekijken
Bekijven
Bekisten
Bekken
Bekladden
Beklagen
Bekleden
Beklemmen
Beklemtonen
Beklijven
Beklimmen
Beklinken
Bekloppen
Beknellen
Beknibbelen
Beknorren
Beknotten
Bekoelen
Bekogelen
Bekokstoven
Bekomen
Bekonkelen
Bekopen
Bekoren
Bekorten
Bekostigen
Bekrachtigen
Bekrassen
Bekritiseren
Bekronen
Bekruipen
Bekruisen
Bekvechten
Bekwamen
Beladen
Belagen
Belanden
Belangen
Belasten
Belasteren
Belazeren
Beledigen
Belegeren
Beleggen
Belemmeren
Belenen
Beletten
Beleven
Belezen
Belichamen
Belichten
Beliegen
Believen
Belijden
Belijnen
Bellen
Beloeren
Belonen
Belopen
Beloven
Beluisteren
Bemachtigen
Bemannen
Bemantelen
Bemerken
Bemesten
Bemeubelen
Bemiddelen
Beminnen
Bemoederen
Bemoedigen
Bemoeilijken
Bemonsteren
Bemorsen
Bemuren
Benadelen
Benaderen
Benadrukken
Benauwen
Benchmarken
Benemen
Benen
Benevelen
Benieuwen
Benijden
Benoemen
Benutten
Benuttigen
Beoefenen
Beogen
Beoordelen
Beoorlogen
Bepakken
Bepalen
Bepantseren
Bepeinzen
Beperken
Beplakken
Beplanten
Bepleisteren
Bepleiten
Beploegen
Bepoederen
Bepotelen
Bepraten
