land
Afghanistan
Islamitische Republiek Afghanistan
Afghānestān
Albanië
Republiek Albanië
Shqipëria
Algerije
Democratische Volksrepubliek Algerije
al-Jazāʾir
Andorra
Vorstendom Andorra
Angola
Republiek Angola
Antigua en Barbuda
Antigua and Barbuda
Argentinië
Argentijnse Republiek
Argentina
Armenië
Republiek Armenië
Hayastan
Australië
Gemenebest Australië
Australia
Azerbeidzjan
Republiek Azerbeidzjan
Azərbaycan
Bahama's
Gemenebest van de Bahama's
The Bahamas
Bahrein
Koninkrijk Bahrein
al-Baḥrayn
Bangladesh
Volksrepubliek Bangladesh
Banglādeś
Barbados
België
Koninkrijk België
Belgien  Frans[10]
Belize
Benin
Republiek Benin
Bénin
Bhutan
Koninkrijk Bhutan
Druk-Yul
Bolivia
Plurinationale Staat Bolivia
Wuliwya  Araona en Spaans
Bosnië en Herzegovina
Bosna i Hercegovina  Servisch
Botswana
Republiek Botswana
Brazilië
Federale Republiek Brazilië
Brasil
Brunei
Staat Brunei Darussalam
Bulgarije
Republiek Bulgarije
Bălgarija
Burkina Faso
Burundi
Republiek Burundi
Burundi  Kirundi
Cambodja
Koninkrijk Cambodja
Kampuchéa
Canada
Centraal-Afrikaanse Republiek
République Centrafricaine  Sango
Chili
Republiek Chili
Chile
China
Volksrepubliek China
Zhongguo
Colombia
Republiek Colombia
Comoren
Unie der Comoren
Juzur al-Qamar
Congo-Brazzaville
Republiek Congo
Congo
Congo-Kinshasa
Democratische Republiek Congo
Costa Rica
Republiek Costa Rica
Cuba
Republiek Cuba
Cyprus
Republiek Cyprus
Kypros
Denemarken
Koninkrijk Denemarken
Danmark
Djibouti
Republiek Djibouti
Jībūtī
Dominica
Gemenebest Dominica
Dominicaanse Republiek
República Dominicana
Duitsland
Bondsrepubliek Duitsland
Deutschland
Ecuador
Republiek Ecuador
Egypte
Arabische Republiek Egypte
Miṣr
El Salvador
Republiek El Salvador
Equatoriaal-Guinea
Republiek Equatoriaal-Guinea
Guinée Équatoriale  Spaans
Eritrea
Staat Eritrea
Irītriyā
Estland
Republiek Estland
Eesti
Ethiopië
Federale Democratische Republiek Ethiopië
Ītyop'iya
Fiji
Republiek Fiji
Fiji  Fijisch
Filipijnen
Republiek der Filipijnen
Philippines  Filipijns
Finland
Republiek Finland
Suomi  Zweeds
Frankrijk
Franse Republiek
France
Gabon
Republiek Gabon
Gambia
Republiek Gambia
The Gambia
Georgië
Sak'art'velo
Ghana
Republiek Ghana
Grenada
Griekenland
Helleense Republiek
Elláda
Guatemala
Republiek Guatemala
Guinee
Republiek Guinee
Guinée
Guinee-Bissau
Republiek Guinee-Bissau
Guiné-Bissau
Guyana
Coöperatieve Republiek Guyana
Haïti
Republiek Haïti
Haïti  Haïtiaans Creools
Honduras
Republiek Honduras
Hongarije
Magyarország
Ierland
Ierland[13]
Ireland  Iers
IJsland
Ísland
India
Republiek India
India  Hindi
Indonesië
Republiek Indonesië
Indonesia
Irak
Republiek Irak
al-ʿIrāq
Iran
Islamitische Republiek Iran
Īrān
Israël
Staat Israël
Isrāʾīl
Italië
Italiaanse Republiek
Italia
Ivoorkust
Republiek Ivoorkust
Côte d'Ivoire
Jamaica
Japan
Nihon
Jemen
Republiek Jemen
al-Yaman
Jordanië
Hasjemitisch Koninkrijk Jordanië
al-ʾUrdun
Kaapverdië
Republiek Kaapverdië
Cabo Verde
Kameroen
Republiek Kameroen
Cameroon  Frans
Kazachstan
Republiek Kazachstan
Qazaqstan
Kenia
Republiek Kenia
Kenya
Kirgizië
Kirgizische Republiek
Kyrgyzstan
Kiribati
Republiek Kiribati
Koeweit
Staat Koeweit
al-Kuwayt
Kosovo
Republiek Kosovo
Kosova  Servisch
Kroatië
Republiek Kroatië
Hrvatska
Laos
Democratische Volksrepubliek Laos
Lao
Lesotho
Koninkrijk Lesotho
Letland
Republiek Letland
Latvija
Libanon
Republiek Libanon
Lubnān
Liberia
Republiek Liberia
Libië
Staat Libië
Lībiyyā
Liechtenstein
Vorstendom Liechtenstein
Litouwen
Republiek Litouwen
Lietuva
Luxemburg
Groothertogdom Luxemburg
Luxemburg  Frans
Madagaskar
Republiek Madagaskar
Madagascar  Plateaumalagasi
Malawi
Republiek Malawi
Malawi  Nyanja
Maldiven
Republiek der Maldiven
Dhivehi Rajjge
Maleisië
Malaysia
Mali
Republiek Mali
Malta
Republiek Malta
Marokko
Koninkrijk Marokko
al-Maghrib
Marshalleilanden
Republiek der Marshalleilanden
Marshall Islands  Marshallees
Mauritanië
Islamitische Republiek Mauritanië
Mūrītāniyyā
Mauritius
Republiek Mauritius
Mexico
Verenigde Mexicaanse Staten
México
Micronesia
Federale Staten van Micronesia
Moldavië
Republiek Moldavië
Moldova
Monaco
Vorstendom Monaco
Mongolië
Mongol Uls
Montenegro
Crna Gora
Mozambique
Republiek Mozambique
Moçambique
Myanmar
