nationaliteit
Afghaans
Afrika
Albanees
Algerijns
Amerika
Amerikaans
Andorrees
Angolees
Argentijns
Armeens
Australisch
Azerbeidzjaans
Azie
Bahamaans
Bahreins
Barbadaans
Belgisch
Belizaans
Bengalees
Benins
Bhutaans
Boliviaans
Bosnisch
Botswaans
Braziliaans
Brits
Bruneis
Bulgaars
Burger Antigua en Barbuda
Burger Dominica
Burger Marshalleilanden
Burger Montenegro
Burger Papoea-Nieuw-guinea
Burger Saint Kitts en Nevis
Burger Sao Tome en Principe
Burger Servie
Burger Servie en Montenegro
Burger Sint Vincent en de Grenadines
Burger Timor Leste
Burger Trinidad en Tobago
Burger Verenigde Arabische Emiraten
Burger van Republiek Noord-Macedonie
Burkinees
Burundisch
Cambodjaans
Canadees
Centraal-Afrikaans
Chileens
Chinees
Colombiaans
Comorees
Congolees
Congolees (Democratische Republiek)
Costa Ricaans
Cubaans
Cyprisch
Deens
Djiboutiaans
Dominicaans
Duits
Ecuadoraans
Egyptisch
Equatoriaal-Guinees
Eritrees
Ests
Eswatinische
Ethiopisch
Europa (exclusief Nederlands)
Europese Unie (exclusief Nederlands)
Fijisch
Filippijns
Fins
Frans
Gabonees
Gambiaans
Georgisch
Ghanees
Grenadaans
Grieks
Guatemalteeks
Guinee-Bissaus
Guinees
Guyaans
Haitiaans
Hondurees
Hongaars
IJslands
Iers
Indiaas
Indonesisch
Iraaks
Iraans
Israelisch
Italiaans
Ivoriaans
Jamaicaans
Japans
Jemenitisch
Joegoslavisch
Jordaans
Kaapverdisch
Kameroens
Katarees
Kazaks
Keniaans
Kiribatisch
Koeweits
Kosovaars
Kroatisch
Kyrgizisch
Laotiaans
Lesothaans
Lets
Libanees
Liberiaans
Libisch
Liechtensteins
Litouws
Luxemburgs
Macedonisch
Madagaskisch
Malawisch
Maledivisch
Maleisisch
Malinees
Maltees
Marokkaans
Mauritaans
Mauritiaans
Mexicaans
Moldavisch
Monegaskisch
Mongools
Mozambikaans
Myanmarees
Namibisch
Nauruaans
Nederlands
Nepalees
Nicaraguaans
Nieuw-Zeelands
Nigerees
Nigeriaans
Noord-Koreaans
Noors
Oceanie
Oekraiens
Oezbeeks
Omanitisch
Oostenrijks
Pakistaans
Panamees
Paraguayaans
Peruaans
Pools
Portugees
Roemeens
Russisch
Rwandees
Salomonseilands
Salvadoraans
Samoaans
San Marinees
Saoedi-Arabisch
Senegalees
Seychels
Sierra Leoons
Singaporees
Sint Luciaans
Sloveens
Slowaaks
Soedanees
Somalisch
Sovjet-Russisch
Spaans
Sri Lankaans
Surinaams
Swazisch
Syrisch
Tadzjikistaans
Taiwanees
Tanzaniaans
Thais
Togolees
Tongaans
Totaal niet-Nederlandse nationaliteit
Tsjadisch
Tsjechisch
Tsjechoslowaaks
Tunesisch
Turkmeens
Turks
Tuvaluaans
Ugandees
Uruguayaans
Vanuatuaans
Vaticaans
Venezolaans
Vietnamees
Wit-Russisch
Zambiaans
Zimbabwaans
Zuid-Afrikaans
Zuid-Koreaans
Zuidsoedanese
Zweeds
Zwitsers
